
Gurobi 13.0.1 (linux64) logging started Thu Apr 23 04:30:29 2026

Set parameter LogFile to value "experiments/20260422_213746/logs/Inst_07_Medium_Inspire_16__drone_index.log"
Set parameter LogToConsole to value 0
Set parameter TimeLimit to value 1800
Gurobi Optimizer version 13.0.1 build v13.0.1rc0 (linux64 - "Ubuntu 24.04.4 LTS")

CPU model: Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads

Non-default parameters:
TimeLimit  1800
LogToConsole  0
LazyConstraints  1

Optimize a model with 14340 rows, 13716 columns and 65060 nonzeros (Min)
Model fingerprint: 0x6f3d710e
Model has 20 linear objective coefficients
Variable types: 6720 continuous, 6996 integer (6996 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+04]
  Objective range  [1e+03, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]

Presolve removed 3200 rows and 1600 columns
Presolve time: 0.19s
Presolved: 11140 rows, 12116 columns, 56836 nonzeros
Variable types: 5120 continuous, 6996 integer (6996 binary)
Found heuristic solution: objective 28000.000000

Root relaxation: objective 2.019990e+03, 19992 iterations, 4.18 seconds (3.93 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1158  1065 5000.00000   40  532 7000.00000 2741.79556  60.8%   924  767s
  1160  1066 5000.00000  167  373 7000.00000 2741.82982  60.8%   922  772s
  1161  1067 5000.00000   58  420 7000.00000 2741.82982  60.8%   922  775s
  1163  1068 3546.07909   12  319 7000.00000 2741.82982  60.8%   920  780s
  1164  1069 5000.00000  132  372 7000.00000 2741.82982  60.8%   919  787s
  1166  1070 5000.00000  101  142 7000.00000 2741.82982  60.8%   918  796s
  1168  1072 5000.00000   17  200 7000.00000 2741.82982  60.8%   916  800s
  1170  1073 5000.00000  116  320 7000.00000 2741.82982  60.8%   914  816s
  1172  1074 3530.11369   13  312 7000.00000 2741.82982  60.8%   913  822s
  1173  1075 5000.00000  140  307 7000.00000 2741.82982  60.8%   912  836s
  1174  1076 5000.00000  155  307 7000.00000 2741.82988  60.8%   911  843s
  1175  1078 2783.48682   22  333 7000.00000 2764.08296  60.5%  1084  856s
  1176  1080 2785.12887   23  341 7000.00000 2764.08296  60.5%  1089  871s
  1182  1085 2926.14213   25  239 7000.00000 2785.71229  60.2%  1095  890s
  1185  1088 4063.69310   26  125 7000.00000 2785.71229  60.2%  1107  899s
  1191  1098     cutoff   27      7000.00000 2785.71229  60.2%  1135  908s
  1205  1099 5000.00000   29   38 7000.00000 2785.71229  60.2%  1144  919s
  1211  1107 5000.00000   31   30 7000.00000 2785.71229  60.2%  1162  923s
  1221  1116 5000.00000   31   37 7000.00000 2785.71229  60.2%  1160  929s
  1233  1124 5000.00000   34   19 7000.00000 2785.71229  60.2%  1164  932s
  1245  1133 5000.00000   36   30 7000.00000 2785.71229  60.2%  1161  935s
  1281  1149 infeasible   44      7000.00000 2785.71229  60.2%  1151  940s
  1323  1158 5000.00000   55   16 7000.00000 2785.71229  60.2%  1133  945s
  1338  1160 infeasible   59      7000.00000 2801.08560  60.0%  1129  957s
  1349  1163     cutoff   26      7000.00000 2801.08560  60.0%  1161  967s
  1367  1175 3500.27175   27  214 7000.00000 2801.08560  60.0%  1163  973s
  1376  1185 3491.87533   28  277 7000.00000 2801.08560  60.0%  1167  976s
  1404  1205 3516.62730   30  240 7000.00000 2801.08560  60.0%  1171  982s
  1420  1211 3606.21324   31  148 7000.00000 2801.08560  60.0%  1175  987s
  1433  1230 3602.95454   31  134 7000.00000 2801.08560  60.0%  1174  991s
  1481  1253 3635.33895   33   92 7000.00000 2801.08560  60.0%  1165  998s
  1502  1250 3641.26004   35  111 7000.00000 2801.08560  60.0%  1160 1001s
H 1504  1187                    5999.9991039 2801.08560  53.3%  1159 1001s
  1506  1199 5000.00000   35   54 5999.99910 2801.08560  53.3%  1160 1007s
  1534  1207 5000.00000   37   65 5999.99910 2801.08560  53.3%  1159 1011s
  1594  1233 5000.00000   41   77 5999.99910 2801.08560  53.3%  1136 1017s
  1627  1243 3873.25719   42   64 5999.99910 2801.08560  53.3%  1116 1024s
  1670  1247 4059.18273   45   56 5999.99910 2801.08560  53.3%  1106 1033s
  1709  1248 5000.00000   50   44 5999.99910 2810.61779  53.2%  1101 1037s
  1723  1284 5000.00000   53   45 5999.99910 2810.61779  53.2%  1102 1042s
  1772  1306 5000.00000   67   10 5999.99910 3409.88621  43.2%  1082 1047s
  1834  1318 4281.75376   26  187 5999.99910 3409.88621  43.2%  1064 1053s
  1885  1321 3568.66108   26  230 5999.99910 3409.88621  43.2%  1047 1057s
  1921  1333 3585.45122   29  223 5999.99910 3409.88621  43.2%  1037 1063s
  1949  1368 3819.84399   31  112 5999.99910 3409.88621  43.2%  1036 1069s
  2009  1400 3885.19626   40  125 5999.99910 3409.88621  43.2%  1014 1077s
* 2026   953              71    5000.0000000 3409.88621  31.8%  1011 1077s
  2096   880     cutoff   44      5000.00000 3409.88621  31.8%   988 1083s
  2136   885 3637.62191   39  140 5000.00000 3492.38472  30.2%   981 1090s
  2193   867 3703.56433   33   77 5000.00000 3499.92585  30.0%   963 1096s
  2263   824 3501.97135   31  153 5000.00000 3499.92585  30.0%   943 1103s
  2313   809 3514.93937   34  167 5000.00000 3501.68686  30.0%   935 1110s
  2389   788 3502.27771   33  272 5000.00000 3502.12097  30.0%   916 1117s
  2458   773 3502.72218   36  160 5000.00000 3502.72218  29.9%   903 1124s
  2536   750     cutoff   40      5000.00000 3503.17294  29.9%   888 1131s
  2635   752 3565.50277   30  108 5000.00000 3512.83241  29.7%   866 1138s
  2734   710     cutoff   52      5000.00000 3515.59220  29.7%   842 1146s
  2857   651 3763.36190   40  128 5000.00000 3518.89388  29.6%   816 1153s
  2991   624 3569.79901   38  119 5000.00000 3525.46205  29.5%   791 1161s
  3067   593 3631.96689   55  118 5000.00000 3536.99291  29.3%   775 1169s
  3136   581 3556.87110   43  179 5000.00000 3542.15938  29.2%   768 1177s
  3240   545 3563.94508   33  121 5000.00000 3544.04716  29.1%   749 1187s
  3324   519 3769.80489   50  105 5000.00000 3549.40678  29.0%   740 1196s
  3438   524 3566.92342   30  102 5000.00000 3555.16199  28.9%   726 1208s
  3541   527     cutoff   35      5000.00000 3560.04785  28.8%   714 1218s
  3685   462 3581.33491   38  173 5000.00000 3563.96184  28.7%   695 1229s
  3822   368 3719.63227   48  109 5000.00000 3566.93551  28.7%   685 1240s
  3966   266 3786.42048   42  128 5000.00000 3578.82294  28.4%   675 1252s
  4140   226 3628.36521   37  219 5000.00000 3592.98612  28.1%   660 1264s
  4345   241 3666.40830   37  181 5000.00000 3625.17088  27.5%   640 1276s
  4535   179     cutoff   33      5000.00000 3660.23954  26.8%   623 1289s
  4803    30     cutoff   38      5000.00000 3719.03179  25.6%   602 1302s

Cutting planes:
  Cover: 118
  Implied bound: 34
  Projected implied bound: 5
  Clique: 58
  MIR: 70
  Flow cover: 292
  GUB cover: 16
  RLT: 12
  Relax-and-lift: 6
  BQP: 9
  Lazy constraints: 209

Explored 5187 nodes (3054973 simplex iterations) in 1304.32 seconds (1268.02 work units)
Thread count was 8 (of 8 available processors)

Solution count 9: 5000 6000 7000 ... 28000

Optimal solution found (tolerance 1.00e-04)
Best objective 5.000000000000e+03, best bound 5.000000000000e+03, gap 0.0000%

User-callback calls 210228, time in user-callback 2.25 sec
